entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
f8e04afdb608,IQANA TECHNOLOGIES S.L.,,,,,,
393098eebdd1,OSL EU GmbH,,,,,,
cdeb10cd78aa,CPS Europe S.A.,,,,,,
78a108ea0205,Volksbank Schwarzwald-Donau-Neckar eG,,,,,,
aae2b48c01a5,Donau-Iller-Bank eG,,Samantha Stutman,United States,Private,Prospect,
4475ecd7ddb5,SMART VALOR AG,,,,,,
db0583028a5d,Altlift s.r.o.,,Chris Velez,United States,Private,Not in Salesforce,
15e98f83ef30,PROSEGUR CUSTODIA DE ACTIVOS DIGITALES,0015w00002NaUSrAAN,Success Outreach Team,Spain,Private,Active Customer,Active
614bb25fe701,Kaiser Partner Privatbank AG,,,,,,
4dbabb018ee0,HERCLE S.R.L.,0016Q00001ZbWF5QAN,Success Outreach Team,Italy,Private,Customer (status unset),
07ae7383f304,YOUNG PLATFORM S.P.A.,001f200001w95fgAAA,Success Outreach Team,Italy,Private,Active Customer,Active
958d8580e994,HODLIE S.R.L.,001VM000003mPf7YAE,Paula Burgess,Italy,Private,Active Customer,Open
b9942899c5aa,Bequant Pro Limited,001f200001fzdJPAAY,Fabien Ribert,Malta,Private,Active Customer,Active
056369f3c341,MEREAU FINANCE SAS,,Chris Velez,United States,Private,Not in Salesforce,
124b2a30c997,ICEBLOCK SAS,,Integration User,,Private,Not in Salesforce,
5b0165dd2575,APLO SAS,,,,,,
b4260a5a9b3f,Everest Network Limited,0015w00002XaJhrAAF,Chris Velez,United States,Private,In Salesforce (no type),
4a15fc3e6336,"MINOS GLOBAL, S.L.",,Christian Menda,Spain,Private,Prospect,Open
ab205c1a5760,Webull Securities (Europe) B.V.,001VM00000SIV5IYAX,Ricky Siewers,United States,Private,In Salesforce (no type),
ffcf04bc28af,Digital Currency Services B.V.,,Integration User,United States,Public,Not in Salesforce,
ce008a3af4d4,Bridge Building S.A.,0016Q00001j4mOjQAI,Matt Giancanelli,United States,Private,Active Customer,Open
f93f67ae3a0c,Ripple Payments Europe S.A.,,,,,,
298cd4a30216,Brilliantscope Trading Limited,,,,,,
65e62ac96be0,COMPLYCRYPTO DEPOSITORY EU LIMITED,,Paula Burgess,Switzerland,Private,Not in Salesforce,
c34925671c7f,Unlimit Crypto Ltd,0016Q00001u84fBQAQ,Henry Fletcher,Switzerland,Private,In Salesforce (no type),
9d64b2256836,NOEMON TECH LTD,,Paula Burgess,United Kingdom,Private,Not in Salesforce,
