entity_id,register_source,jurisdiction,legal_name,commercial_name,home_country,home_country_code,regulator,registration_status,licence_type,dual_registered,registration_date,services,services_codes,passporting_countries,passporting_count,lei,website,town,regulation_type,regulation_scope,entity_type,multi_jurisdiction_count,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage,last_scraped,last_changed
f8e04afdb608,ESMA_MICA,EU/EEA,IQANA TECHNOLOGIES S.L.,IQANA TECHNOLOGIES S.L.,Spain,ES,Comisión Nacional del Mercado de Valores (CNMV),Authorised,CASP,False,2026-07-10,Portfolio management,i,ES|DE|PT,3,959800AZT2DVBLZQY241,https://iqana.io/,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",VASP / Other,1,,,,,,,2026-07-16,
393098eebdd1,ESMA_MICA,EU/EEA,OSL EU GmbH,OSL EU,Austria,AT,Austrian Financial Market Authority (FMA),Authorised,CASP,False,2026-07-07,Custody & administration; Exchange crypto-to-fiat; Exchange crypto-to-crypto; Transfer services,a|c|d|j,AT|BE|BG|CY|CZ|DE|DK|EE|ES|FI|FR|GR|HR|HU|IE|IS|IT|LI|LT|LU|LV|MT|NL|NO|PL|PT|RO|SE|SI|SK,30,8945001TKX2A5OJMNR45,https://www.osl.com/eu,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Exchange,0,,,,,,,2026-07-16,
cdeb10cd78aa,ESMA_MICA,EU/EEA,CPS Europe S.A.,CPS,Luxembourg,LU,Commission de Surveillance du Secteur Financier (CSSF),Authorised,CASP,False,2026-07-03,Custody & administration; Exchange crypto-to-fiat; Exchange crypto-to-crypto; Order execution; Transfer services,a|c|d|e|j,AT|BE|BG|HR|CY|CZ|DK|EE|FI|FR|DE|GR|HU|IS|IE|IT|LV|LI|LT|MT|NL|NO|PL|PT|RO|SK|SI|ES|SE,29,984500CFB88366E9B834,https://www.enum8.com/,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Exchange,1,,,,,,,2026-07-16,
78a108ea0205,ESMA_MICA,EU/EEA,Volksbank Schwarzwald-Donau-Neckar eG,Volksbank Schwarzwald-Donau-Neckar eG,Germany,DE,Federal Financial Supervisory Authority (BaFin),Authorised,CASP,False,2026-07-02,Order execution,e,DE,1,5299009ADJ9XFQVUKZ50,www.vbsdn.de,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Bank,1,,,,,,,2026-07-16,
aae2b48c01a5,ESMA_MICA,EU/EEA,Donau-Iller-Bank eG,Donau-Iller-Bank eG,Germany,DE,Federal Financial Supervisory Authority (BaFin),Authorised,CASP,False,2026-07-01,Order execution,e,DE,1,529900P8OKWO25XE4251,www.donau-iller-bank.de,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Bank,1,,Samantha Stutman,United States,Private,Prospect,,2026-07-16,
4475ecd7ddb5,ESMA_MICA,EU/EEA,SMART VALOR AG,SMART VALOR,Liechtenstein,LI,Finanzmarktaufsicht (FMA),Authorised,CASP,False,2026-07-01,Custody & administration; Trading platform operation; Exchange crypto-to-fiat; Exchange crypto-to-crypto; Transfer services,a|b|c|d|j,AT|BE|BG|CY|CZ|DE|DK|EE|ES|FI|FR|GR|HR|HU|IE|IS|IT|LI|LT|LU|LV|MT|NL|NO|PL|PT|RO|SE|SI|SK,30,254900S56908SP1E8O53,https://smartvalor.com/en/,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Exchange,1,,,,,,,2026-07-16,
db0583028a5d,ESMA_MICA,EU/EEA,Altlift s.r.o.,nan,Czech Republic,CZ,Czech National Bank (CNB),Authorised,CASP,False,2026-06-30,Order execution; Reception & transmission of orders; Advice on crypto-assets,e|g|h,CZ,1,8945004PZEJSSPTTVB16,ttps://www.altlift.cz/,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",VASP / Other,1,,Chris Velez,United States,Private,Not in Salesforce,,2026-07-16,
15e98f83ef30,ESMA_MICA,EU/EEA,PROSEGUR CUSTODIA DE ACTIVOS DIGITALES,PROSEGUR CRYPTO,Spain,ES,Comisión Nacional del Mercado de Valores (CNMV),Authorised,CASP,False,2026-06-30,Custody & administration; Reception & transmission of orders; Transfer services,a|g|j,ES,1,59800G0P3PV13KLX615,www.prosegurcrypto.com,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Custodian,1,0015w00002NaUSrAAN,Success Outreach Team,Spain,Private,Active Customer,Active,2026-07-16,
614bb25fe701,ESMA_MICA,EU/EEA,Kaiser Partner Privatbank AG,Kaiser Partner Privatbank,Liechtenstein,LI,Finanzmarktaufsicht (FMA),Authorised,CASP,False,2026-06-30,Custody & administration; Reception & transmission of orders; Portfolio management; Transfer services,a|g|i|j,AT|BE|BG|CY|CZ|DE|DK|EE|ES|FI|FR|GR|HR|HU|IE|IS|IT|LI|LT|LU|LV|MT|NL|NO|PL|PT|RO|SE|SI|SK,30,529900DPOQPLDSF3R482,https://kaiserpartner.bank,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Bank,1,,,,,,,2026-07-16,
4dbabb018ee0,ESMA_MICA,EU/EEA,HERCLE S.R.L.,Hercle,Italy,IT,Commissione Nazionale per le Societa e la Borsa (CONSOB),Authorised,CASP,False,2026-06-30,Custody & administration; Exchange crypto-to-fiat; Exchange crypto-to-crypto; Transfer services,a|c|d|j,AT|BE|BG|CY|CZ|DE|DK|EE|ES|FI|FR|GR|HR|HU|IE|IT|LT|LU|LV|MT|NL|PL|PT|RO|SE|SI|SK,27,984500AEBA8A0HQ44988,https://www.hercle.financial,,Comprehensive Operating Licence,"Full crypto-asset service authorisation — 10 MiCA services, passporting across 30 EEA states, prudential + AML/CTF + consumer protection",Exchange,1,0016Q00001ZbWF5QAN,Success Outreach Team,Italy,Private,Customer (status unset),,2026-07-16,
